CS162;Introduction to Computer Science;19APCS1;dbtien;2020 03 23 ;2020 06 18;Mon;13 30;17 10;I34
CS162;Introduction to Computer Science;19APCS2;dbtien;2020 03 24;2020 06 19;Tue;13 30;17 10;I24
MTH252;Calculus II;19APCS1;nhanh;2020 03 24;2020 06 20;Tue;9 30;11 10;I34
MTH252;Calculus II;19APCS2;nttvan;2020 03 26;2020 06 20;Wed;13 30;15 10;I44
BAA00101;Marxist- Leninist Philosophy;19APCS1;nqhuy;2020 03 24;2020 06 18;Thu;7 30;9 30;Hall I
BAA00101;Marxist- Leninist Philosophy;19APCS2;nqhuy;2020 03 24;2020 06 18;Thu;7 30;11 10;Hall I
PH212;General Physics II;19APCS1;nhnha;2020 03 25;2020 06 12;Tue;7 30;9 30;I34
PH212;General Physics II;19APCS2;nhnha;2020 03 25;2020 06 12;Tue;9 30;11 10;I34
BAA00004;Introduction to Laws;19APCS1;dctrang;2020 03 22;2020 06 11;Mon;13 30;17 10;Hall I
BAA00004;Introduction to Laws;19APCS2;dctrang;2020 03 22;2020 06 11;Mon;13 30;17 10;Hall I
